block_raw,block_matched,row_number,side,structure,variety_raw,variety_matched,variety_id,rootstock_raw,rootstock_matched,rootstock_id,planting_year,tree_count,length_m,area_m2
GS/PL Trellis,GSPL Granny Smith,18,,PORTION,G/S,Granny Smith,c12ba571-815f-4c41-afae-57d07475c392,104,MM.104,aaad9070-e35e-41e4-aa2d-5955c6db065a,1997,340,170,850
GS/PL Trellis,GSPL Granny Smith,19,,PORTION,G/S,Granny Smith,c12ba571-815f-4c41-afae-57d07475c392,104,MM.104,aaad9070-e35e-41e4-aa2d-5955c6db065a,1997,459,170,850
GS/PL Trellis,GSPL Granny Smith,20,,PORTION,G/S,Granny Smith,c12ba571-815f-4c41-afae-57d07475c392,104,MM.104,aaad9070-e35e-41e4-aa2d-5955c6db065a,1997,340,170,850
GS/PL Trellis,GSPL Granny Smith,21,,PORTION,G/S,Granny Smith,c12ba571-815f-4c41-afae-57d07475c392,104,MM.104,aaad9070-e35e-41e4-aa2d-5955c6db065a,1997,336,168,840
GS/PL Trellis,GSPL Pink Lady,22,,PORTION,P/L,Pink Lady,23ee67fb-37d2-442b-ab9d-d9ddeaa4b7d8,109,MM.109,cff3de27-0bde-4a1d-879c-6ccc107111e3,1997,336,168,840
GS/PL Trellis,GSPL Granny Smith,23,,PORTION,G/S,Granny Smith,c12ba571-815f-4c41-afae-57d07475c392,104,MM.104,aaad9070-e35e-41e4-aa2d-5955c6db065a,1997,336,168,840
GS/PL Trellis,GSPL Granny Smith,24,,PORTION,G/S,Granny Smith,c12ba571-815f-4c41-afae-57d07475c392,104,MM.104,aaad9070-e35e-41e4-aa2d-5955c6db065a,1997,334,167,835
GS/PL Trellis,GSPL Granny Smith,25,,PORTION,G/S,Granny Smith,c12ba571-815f-4c41-afae-57d07475c392,104,MM.104,aaad9070-e35e-41e4-aa2d-5955c6db065a,1997,334,167,835
GS/PL Trellis,GSPL Granny Smith,26,,PORTION,G/S,Granny Smith,c12ba571-815f-4c41-afae-57d07475c392,104,MM.104,aaad9070-e35e-41e4-aa2d-5955c6db065a,1997,334,167,835
GS/PL Trellis,GSPL Pink Lady,27,,PORTION,P/L,Pink Lady,23ee67fb-37d2-442b-ab9d-d9ddeaa4b7d8,109,MM.109,cff3de27-0bde-4a1d-879c-6ccc107111e3,1997,334,167,835
GS/PL Trellis,GSPL Granny Smith,28,,PORTION,G/S,Granny Smith,c12ba571-815f-4c41-afae-57d07475c392,109,MM.109,cff3de27-0bde-4a1d-879c-6ccc107111e3,1997,78,39,195
GS/PL Trellis,GSPL Granny Smith,28,,PORTION,G/S,Granny Smith,c12ba571-815f-4c41-afae-57d07475c392,104,MM.104,aaad9070-e35e-41e4-aa2d-5955c6db065a,1997,256,128,640
GS/PL Trellis,GSPL Granny Smith,29,,PORTION,G/S,Granny Smith,c12ba571-815f-4c41-afae-57d07475c392,109,MM.109,cff3de27-0bde-4a1d-879c-6ccc107111e3,1997,334,167,835
GS/PL Trellis,GSPL Granny Smith,30,,PORTION,G/S,Granny Smith,c12ba571-815f-4c41-afae-57d07475c392,109,MM.109,cff3de27-0bde-4a1d-879c-6ccc107111e3,1997,334,167,835
GS/PL Trellis,GSPL Granny Smith,31,,PORTION,G/S,Granny Smith,c12ba571-815f-4c41-afae-57d07475c392,109,MM.109,cff3de27-0bde-4a1d-879c-6ccc107111e3,1997,334,167,835
GS/PL Trellis,GSPL Granny Smith,32,,PORTION,G/S,Granny Smith,c12ba571-815f-4c41-afae-57d07475c392,109,MM.109,cff3de27-0bde-4a1d-879c-6ccc107111e3,1997,152,76,380
GS/PL Trellis,GSPL Granny Smith,32,,PORTION,P/L,Pink Lady,23ee67fb-37d2-442b-ab9d-d9ddeaa4b7d8,106,MM.106,070af645-e78b-4e4a-923c-6d2f8b16d174,1997,180,90,450
GS/PL Trellis,GSPL Pink Lady,33,,PORTION,P/L,Pink Lady,23ee67fb-37d2-442b-ab9d-d9ddeaa4b7d8,106,MM.106,070af645-e78b-4e4a-923c-6d2f8b16d174,1997,332,166,830
GS/PL Trellis,GSPL Pink Lady,34,,PORTION,P/L,Pink Lady,23ee67fb-37d2-442b-ab9d-d9ddeaa4b7d8,106,MM.106,070af645-e78b-4e4a-923c-6d2f8b16d174,1997,332,166,830
GS/PL Trellis,GSPL Pink Lady,35,,PORTION,P/L,Pink Lady,23ee67fb-37d2-442b-ab9d-d9ddeaa4b7d8,106,MM.106,070af645-e78b-4e4a-923c-6d2f8b16d174,1997,76,38,190
GS/PL Trellis,GSPL Pink Lady,35,,PORTION,P/L,Pink Lady,23ee67fb-37d2-442b-ab9d-d9ddeaa4b7d8,104,MM.104,aaad9070-e35e-41e4-aa2d-5955c6db065a,1997,166,83,415
GS/PL Trellis,GSPL Pink Lady,35,,PORTION,P/L,Pink Lady,23ee67fb-37d2-442b-ab9d-d9ddeaa4b7d8,109,MM.109,cff3de27-0bde-4a1d-879c-6ccc107111e3,1997,90,45,225
