block_raw,block_matched,block_id,row_number,side,row_length_m,row_width_m,structure
Lady In Red,Lady In Red,6a6dcd51-e140-47a8-affa-caf44134d525,13,,205.12,3,PORTION
Lady In Red,Lady In Red,6a6dcd51-e140-47a8-affa-caf44134d525,14,,203.88,3,PORTION
Lady In Red,Lady In Red,6a6dcd51-e140-47a8-affa-caf44134d525,15,,202.64,3,PORTION
Lady In Red,Lady In Red,6a6dcd51-e140-47a8-affa-caf44134d525,16,,201.4,3,PORTION
Lady In Red,Lady In Red,6a6dcd51-e140-47a8-affa-caf44134d525,17,,200.16,3,PORTION
Lady In Red,Lady In Red,6a6dcd51-e140-47a8-affa-caf44134d525,18,,198.92,3,PORTION
Lady In Red,Lady In Red,6a6dcd51-e140-47a8-affa-caf44134d525,19,,197.68,3,PORTION
Lady In Red,Lady In Red,6a6dcd51-e140-47a8-affa-caf44134d525,20,,196.44,3,PORTION
Lady In Red,Lady In Red,6a6dcd51-e140-47a8-affa-caf44134d525,21,,195.2,3,PORTION
Lady In Red,Lady In Red,6a6dcd51-e140-47a8-affa-caf44134d525,22,,193.96,3,PORTION
Lady In Red,Lady In Red,6a6dcd51-e140-47a8-affa-caf44134d525,23,,192.72,3,PORTION
Lady In Red,Lady In Red,6a6dcd51-e140-47a8-affa-caf44134d525,24,,191.48,3,PORTION
Lady In Red,Lady In Red,6a6dcd51-e140-47a8-affa-caf44134d525,25,,190.24,3,PORTION
Lady In Red,Lady In Red,6a6dcd51-e140-47a8-affa-caf44134d525,26,,189,3,PORTION
MODI 1,Modi,46d2ba1a-b9d7-476e-98bd-55621d6c341c,1,,145,3,PORTION
MODI 1,Modi,46d2ba1a-b9d7-476e-98bd-55621d6c341c,2,,145,3,PORTION
MODI 1,Modi,46d2ba1a-b9d7-476e-98bd-55621d6c341c,3,,145,3,PORTION
MODI 1,Modi,46d2ba1a-b9d7-476e-98bd-55621d6c341c,4,,145,3,PORTION
MODI 1,Modi,46d2ba1a-b9d7-476e-98bd-55621d6c341c,5,,145,3,PORTION
MODI 1,Modi,46d2ba1a-b9d7-476e-98bd-55621d6c341c,6,,145,3,PORTION
MODI 1,Modi,46d2ba1a-b9d7-476e-98bd-55621d6c341c,7,,145,3,PORTION
MODI 1,Modi,46d2ba1a-b9d7-476e-98bd-55621d6c341c,8,,145,3,PORTION
MODI 1,Modi,46d2ba1a-b9d7-476e-98bd-55621d6c341c,9,,145,3,PORTION
MODI 1,Modi,46d2ba1a-b9d7-476e-98bd-55621d6c341c,10,,145,3,PORTION
MODI 1,Modi,46d2ba1a-b9d7-476e-98bd-55621d6c341c,11,,145,3,PORTION
MODI 1,Modi,46d2ba1a-b9d7-476e-98bd-55621d6c341c,12,,145,3,PORTION
MODI 1,Modi,46d2ba1a-b9d7-476e-98bd-55621d6c341c,13,,145,3,PORTION
MODI 1,Modi,46d2ba1a-b9d7-476e-98bd-55621d6c341c,14,,145,3,PORTION
